,Unnamed: 0,date,carrier,number,code_i,hora_i,code_f,hora_f,travel_time,inicial_hour,final_hour,coords_i,coords_f,hour0,hour1,hour2,hour3,hour4,hour5,hour6,hour7,hour8,hour9,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,hour24,hour25,hour26,hour27,hour28,hour29,hour30,hour31,hour32,hour33,hour34,hour35,hour36,hour37,hour38,hour39
0,0,2024-05-17 00:00:00,AA,816,JFK,2024-05-17 07:00:00-04:00,CUN,2024-05-17 10:05:00-05:00,5,7,12,"[40.6397, -73.7789]","[21.0365, -86.8771]", , , , , , , ,"[40.6397, -73.7789]","[36.71906, -76.39854]","[32.79842, -79.01818]","[28.877779999999998, -81.63781999999999]","[24.95714, -84.25746]","[21.0365, -86.8771]", , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,1,2024-05-17 00:00:00,AA,724,CLT,2024-05-17 16:15:00-04:00,DUB,2024-05-18 05:00:00+01:00,8,16,24,"[35.214, -80.9431]","[53.4213, -6.27007]", , , , , , , , , , , , , , , , ,"[35.214, -80.9431]","[37.4899125, -71.60897125]","[39.765825, -62.274842500000005]","[42.041737499999996, -52.94071375]","[44.31765, -43.606585]","[46.593562500000004, -34.272456250000005]","[48.869475, -24.9383275]","[51.1453875, -15.604198750000009]","[53.4213, -6.270070000000004]", , , , , , , , , , , , , , , 
2,2,2024-05-17 00:00:00,AA,205,LAX,2024-05-17 17:25:00-07:00,OGG,2024-05-17 20:02:00-10:00,6,17,23,"[33.9425, -118.408]","[20.8986, -156.43]", , , , , , , , , , , , , , , , , ,"[33.9425, -118.408]","[31.76851666666667, -124.745]","[29.594533333333334, -131.082]","[27.42055, -137.419]","[25.246566666666666, -143.756]","[23.072583333333334, -150.09300000000002]","[20.8986, -156.43]", , , , , , , , , , , , , , , , 
3,3,2024-05-17 00:00:00,AA,373,CLT,2024-05-17 08:57:00-04:00,MIA,2024-05-17 11:00:00-04:00,3,8,11,"[35.214, -80.9431]","[25.7932, -80.2906]", , , , , , , , ,"[35.214, -80.9431]","[32.07373333333333, -80.7256]","[28.933466666666664, -80.5081]","[25.7932, -80.2906]", , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,4,2024-05-17 00:00:00,AA,665,LAS,2024-05-17 06:55:00-07:00,PHL,2024-05-17 14:35:00-04:00,5,6,11,"[36.0801, -115.152]","[39.8719, -75.2411]", , , , , , ,"[36.0801, -115.152]","[36.83846, -107.16982]","[37.59682, -99.18764]","[38.35518, -91.20546]","[39.11354, -83.22328]","[39.8719, -75.2411]", , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5,5,2024-05-17 00:00:00,AA,656,MIA,2024-05-17 19:26:00-04:00,DCA,2024-05-17 22:00:00-04:00,3,19,22,"[25.7932, -80.2906]","[38.8522, -77.0378]", , , , , , , , , , , , , , , , , , , ,"[25.7932, -80.2906]","[30.1462, -79.20633333333333]","[34.4992, -78.12206666666667]","[38.8522, -77.0378]", , , , , , , , , , , , , , , , , 
6,6,2024-05-17 00:00:00,AA,690,BOS,2024-05-17 05:30:00-04:00,SAN,2024-05-17 11:33:00-07:00,10,5,15,"[42.3643, -71.0052]","[32.7336, -117.19]", , , , , ,"[42.3643, -71.0052]","[41.40123, -75.62368000000001]","[40.43816, -80.24216]","[39.47509, -84.86064]","[38.51202, -89.47912]","[37.548950000000005, -94.0976]","[36.58588, -98.71608]","[35.62281, -103.33456000000001]","[34.65974, -107.95304]","[33.696670000000005, -112.57151999999999]","[32.7336, -117.19]", , , , , , , , , , , , , , , , , , , , , , , , 
7,7,2024-05-17 00:00:00,AA,280,ICN,2024-05-17 17:25:00+09:00,DFW,2024-05-17 16:10:00-05:00,13,17,30,"[37.4633, 126.44]","[32.8968, -97.038]", , , , , , , , , , , , , , , , , ,"[37.4633, 126.44]","[37.11203076923076, 109.24938461538461]","[36.76076153846154, 92.05876923076923]","[36.409492307692304, 74.86815384615385]","[36.05822307692308, 57.67753846153846]","[35.706953846153844, 40.48692307692308]","[35.35568461538461, 23.296307692307693]","[35.004415384615385, 6.105692307692308]","[34.65314615384615, -11.084923076923076]","[34.30187692307692, -28.275538461538474]","[33.95060769230769, -45.466153846153844]","[33.59933846153846, -62.656769230769214]","[33.24806923076923, -79.84738461538461]","[32.8968, -97.03800000000001]", , , , , , , , , 
8,8,2024-05-17 00:00:00,AA,234,SFO,2024-05-17 06:03:00-07:00,JFK,2024-05-17 14:49:00-04:00,6,6,12,"[37.619, -122.375]","[40.6397, -73.7789]", , , , , , ,"[37.619, -122.375]","[38.12245, -114.27565]","[38.6259, -106.1763]","[39.12935, -98.07695]","[39.632799999999996, -89.9776]","[40.13625, -81.87825]","[40.6397, -73.7789]", , , , , , , , , , , , , , , , , , , , , , , , , , , 
9,9,2024-05-17 00:00:00,AA,31,LAX,2024-05-17 08:00:00-07:00,HNL,2024-05-17 10:55:00-10:00,6,8,14,"[33.9425, -118.408]","[21.3206, -157.924]", , , , , , , , ,"[33.9425, -118.408]","[31.83885, -124.994]","[29.735200000000003, -131.58]","[27.63155, -138.166]","[25.527900000000002, -144.752]","[23.42425, -151.33800000000002]","[21.3206, -157.924]", , , , , , , , , , , , , , , , , , , , , , , , , 
10,10,2024-05-17 00:00:00,AA,684,PHX,2024-05-17 10:44:00-07:00,LIH,2024-05-17 14:23:00-10:00,7,10,17,"[33.4343, -112.012]","[21.976, -159.339]", , , , , , , , , , ,"[33.4343, -112.012]","[31.7974, -118.773]","[30.1605, -125.534]","[28.523600000000002, -132.29500000000002]","[26.886699999999998, -139.056]","[25.2498, -145.817]","[23.6129, -152.578]","[21.976, -159.339]", , , , , , , , , , , , , , , , , , , , , , 
11,11,2024-05-17 00:00:00,AA,159,DFW,2024-05-17 08:20:00-05:00,DFW,2024-05-17 15:25:00-05:00,8,8,16,"[32.8968, -97.038]","[32.8968, -97.038]", , , , , , , , ,"[32.8968, -97.038]","[32.8968, -97.038]","[32.8968, -97.038]","[32.8968, -97.038]","[32.8968, -97.038]","[32.8968, -97.038]","[32.8968, -97.038]","[32.8968, -97.038]","[32.8968, -97.038]", , , , , , , , , , , , , , , , , , , , , , , 
