,date,carrier,number,code_i,hora_i,code_f,hora_f
0,2024-05-17 00:00:00,AA,816,JFK,2024-05-17 07:00:00-04:00,CUN,2024-05-17 10:05:00-05:00
1,2024-05-17 00:00:00,AA,724,CLT,2024-05-17 16:15:00-04:00,DUB,2024-05-18 05:00:00+01:00
2,2024-05-17 00:00:00,AA,205,LAX,2024-05-17 17:25:00-07:00,OGG,2024-05-17 20:02:00-10:00
3,2024-05-17 00:00:00,AA,373,CLT,2024-05-17 08:57:00-04:00,MIA,2024-05-17 11:00:00-04:00
4,2024-05-17 00:00:00,AA,665,LAS,2024-05-17 06:55:00-07:00,PHL,2024-05-17 14:35:00-04:00
5,2024-05-17 00:00:00,AA,656,MIA,2024-05-17 19:26:00-04:00,DCA,2024-05-17 22:00:00-04:00
6,2024-05-17 00:00:00,AA,690,BOS,2024-05-17 05:30:00-04:00,SAN,2024-05-17 11:33:00-07:00
7,2024-05-17 00:00:00,AA,280,ICN,2024-05-17 17:25:00+09:00,DFW,2024-05-17 16:10:00-05:00
8,2024-05-17 00:00:00,AA,234,SFO,2024-05-17 06:03:00-07:00,JFK,2024-05-17 14:49:00-04:00
9,2024-05-17 00:00:00,AA,31,LAX,2024-05-17 08:00:00-07:00,HNL,2024-05-17 10:55:00-10:00
10,2024-05-17 00:00:00,AA,684,PHX,2024-05-17 10:44:00-07:00,LIH,2024-05-17 14:23:00-10:00
11,2024-05-17 00:00:00,AA,159,DFW,2024-05-17 08:20:00-05:00,DFW,2024-05-17 15:25:00-05:00
12,2024-05-17 00:00:00,AA,749,MAD,2024-05-17 12:20:00+02:00,CLT,2024-05-17 15:20:00-04:00
13,2024-05-17 00:00:00,AA,893,CLT,2024-05-17 07:50:00-04:00,CLT,2024-05-17 13:29:00-04:00
14,2024-05-17 00:00:00,AA,795,AUS,2024-05-17 14:30:00-05:00,DFW,2024-05-17 15:43:00-05:00
15,2024-05-17 00:00:00,AA,375,JAX,2024-05-17 07:15:00-04:00,LAX,2024-05-17 12:14:00-07:00
16,2024-05-17 00:00:00,AA,443,CLT,2024-05-17 11:58:00-04:00,CLT,2024-05-17 16:47:00-04:00
17,2024-05-17 00:00:00,AA,121,DOH,2024-05-17 08:05:00+03:00,PHL,2024-05-17 15:30:00-04:00
18,2024-05-17 00:00:00,AA,881,CLT,2024-05-17 07:39:00-04:00,CUN,2024-05-17 09:34:00-05:00
19,2024-05-17 00:00:00,AA,477,MIA,2024-05-17 10:10:00-04:00,MIA,2024-05-17 15:25:00-04:00
20,2024-05-17 00:00:00,AA,326,PHL,2024-05-17 18:50:00-04:00,PIT,2024-05-17 20:19:00-04:00
21,2024-05-17 00:00:00,AA,337,PHX,2024-05-17 10:25:00-07:00,PHX,2024-05-17 14:25:00-07:00
22,2024-05-17 00:00:00,AA,970,ELP,2024-05-17 06:00:00-06:00,PHX,2024-05-17 06:20:00-07:00
23,2024-05-17 00:00:00,AA,247,LAX,2024-05-17 09:53:00-07:00,KOA,2024-05-17 12:30:00-10:00
24,2024-05-17 00:00:00,AA,511,MCO,2024-05-17 07:06:00-04:00,DCA,2024-05-17 09:25:00-04:00
25,2024-05-17 00:00:00,AA,432,PHX,2024-05-17 10:35:00-07:00,OGG,2024-05-17 14:03:00-10:00
26,2024-05-17 00:00:00,AA,563,PHX,2024-05-17 15:31:00-07:00,MCO,2024-05-17 22:41:00-04:00
27,2024-05-17 00:00:00,AA,753,LAX,2024-05-17 09:35:00-07:00,ATL,2024-05-17 16:56:00-04:00
28,2024-05-17 00:00:00,AA,764,CLT,2024-05-17 20:48:00-04:00,AUS,2024-05-17 22:47:00-05:00
29,2024-05-17 00:00:00,AA,803,PHX,2024-05-17 15:37:00-07:00,AUS,2024-05-17 19:56:00-05:00
30,2024-05-17 00:00:00,AA,935,ORD,2024-05-17 20:44:00-05:00,AUS,2024-05-17 23:42:00-05:00
31,2024-05-17 00:00:00,AA,507,MIA,2024-05-17 21:11:00-04:00,DCA,2024-05-17 23:58:00-04:00
32,2024-05-17 00:00:00,AA,744,IAH,2024-05-17 08:55:00-05:00,CLT,2024-05-17 12:25:00-04:00
33,2024-05-17 00:00:00,AA,140,BOS,2024-05-17 13:45:00-04:00,BOS,2024-05-17 18:45:00-04:00
34,2024-05-17 00:00:00,AA,641,LAX,2024-05-17 10:25:00-07:00,PHL,2024-05-17 18:34:00-04:00
35,2024-05-17 00:00:00,AA,746,PHL,2024-05-17 21:00:00-04:00,NCE,2024-05-18 10:55:00+02:00
36,2024-05-17 00:00:00,AA,844,AUS,2024-05-17 15:27:00-05:00,PHX,2024-05-17 15:59:00-07:00
37,2024-05-17 00:00:00,AA,337,PHX,2024-05-17 10:25:00-07:00,PHX,2024-05-17 14:25:00-07:00
38,2024-05-17 00:00:00,AA,4,LAX,2024-05-17 11:30:00-07:00,JFK,2024-05-17 20:02:00-04:00
39,2024-05-17 00:00:00,AA,259,LIS,2024-05-17 11:05:00+01:00,PHL,2024-05-17 13:45:00-04:00
40,2024-05-17 00:00:00,AA,276,SFO,2024-05-17 22:10:00-07:00,JFK,2024-05-18 07:00:00-04:00
41,2024-05-17 00:00:00,AA,962,GRU,2024-05-17 22:20:00-03:00,DFW,2024-05-18 06:50:00-05:00
42,2024-05-17 00:00:00,AA,460,CLT,2024-05-17 18:50:00-04:00,BOS,2024-05-17 21:00:00-04:00
43,2024-05-17 00:00:00,AA,372,CLT,2024-05-17 15:12:00-04:00,DCA,2024-05-17 16:29:00-04:00
44,2024-05-17 00:00:00,AA,620,CLT,2024-05-17 07:20:00-04:00,CLT,2024-05-17 10:41:00-04:00
45,2024-05-17 00:00:00,AA,466,DCA,2024-05-17 12:27:00-04:00,CLT,2024-05-17 13:52:00-04:00
46,2024-05-17 00:00:00,AA,491,MKE,2024-05-17 07:00:00-05:00,CLT,2024-05-17 10:07:00-04:00
47,2024-05-17 00:00:00,AA,620,CLT,2024-05-17 07:20:00-04:00,CLT,2024-05-17 10:41:00-04:00
