country_code;region_name;iata;icao;airport;latitude;longitude
AE;Abu Zaby;AAN;OMAL;Al Ain International Airport;24,26170;55,60920
AE;Abu Zaby;AUH;OMAA;Abu Dhabi International Airport;24,43300;54,65110
AE;Abu Zaby;AYM;;Yas Island Seaplane Base;24,46700;54,61030
AE;Abu Zaby;AZI;OMAD;Al Bateen Executive Airport;24,42830;54,45810
AE;Abu Zaby;DHF;OMAM;Al Dhafra Air Base;24,24820;54,54770
AE;Abu Zaby;XSB;OMBY;Sir Bani Yas Airport;24,28360;52,58030
AE;Abu Zaby;ZDY;OMDL;Dalma Airport;24,51000;52,33520
AE;Al Fujayrah;FJR;OMFJ;Fujairah International Airport;25,11220;56,32400
AE;Ash Shariqah;SHJ;OMSJ;Sharjah International Airport;25,32860;55,51720
AE;Dubayy;DCG;;Dubai Creek Seaplane Base;25,24220;55,33140
AE;Dubayy;DJH;;Jebel Ali Seaplane Base;24,98900;55,02380
AE;Dubayy;DWC;OMDW;Al Maktoum International Airport;24,89640;55,16140
AE;Dubayy;DXB;OMDB;Dubai International Airport;25,25280;55,36440
AE;Dubayy;NHD;OMDM;Al Minhad Air Base;25,02680;55,36620
AE;Ra's al Khaymah;RHR;;Al Hamra Seaplane Base;25,69100;55,77800
AE;Ra's al Khaymah;RKT;OMRK;Ras Al Khaimah International Airport;25,61350;55,93880
AF;Badakhshan;DAZ;OADZ;Darwaz Airport;38,46110;70,88250
AF;Badakhshan;FBD;OAFZ;Fayzabad Airport;37,12110;70,51810
AF;Badakhshan;KUR;OARZ;Razer Airport;37,75200;-89,01540
AF;Badakhshan;KWH;OAHN;Khwahan Airport;37,88300;70,21700
AF;Badakhshan;SGA;OASN;Sheghnan Airport;37,56700;71,50000
AF;Badghis;LQN;OAQN;Qala i Naw Airport;34,98500;63,11780
AF;Balkh;MZR;OAMS;Mazar-e Sharif International Airport;36,70690;67,20970
AF;Bamyan;BIN;OABN;Bamyan Airport;34,81700;67,81700
AF;Farah;FAH;OAFR;Farah Airport;32,36700;62,18300
AF;Faryab;MMZ;OAMN;Maymana Airport;35,93080;64,76090
AF;Ghazni;GZI;OAGN;Ghazni Airport;33,53120;68,41290
AF;Ghazni;SBF;OADS;Sardeh Band Airport;33,32070;68,63650
AF;Ghor;CCN;OACC;Chaghcharan Airport;34,52650;65,27100
AF;Helmand;BST;OABT;Bost Airport;31,55970;64,36500
AF;Helmand;DWR;OADY;Dwyer Airport;31;64
AF;Helmand;OAZ;OAZI;Camp Bastion Air Base;31,86380;64,22460
AF;Herat;HEA;OAHR;Herat International Airport;34,21000;62,22830
AF;Herat;OAH;OASD;Shindand Air Base;33,39130;62,26100
AF;Herat;ZAJ;OAZJ;Zaranj Airport;30,97220;61,86580
AF;Kabul;GRG;OAGZ;Gardez Airport;33,63150;69,23940
AF;Kabul;KBL;OAKB;Kabul International Airport;34,56580;69,21310
AF;Kandahar;KDH;OAKN;Kandahar International Airport;31,50580;65,84780
AF;Kandahar;TII;OATN;Tarinkot Airport;32,60420;65,86580
AF;Kandahar;URZ;OARG;Uruzgan Airport;32,90300;66,63090
AF;Khost;KHT;OAKS;Khost Airfield;33,33340;69,95200
AF;Khost;OLR;OASL;Forward Operating Base Salerno;33,36380;69,95610
AF;Kunduz;UND;OAUZ;Kunduz Airport;36,66510;68,91080
AF;Logar;OAA;OASH;Forward Operating Base Shank;33,92250;69,07720
AF;Nangarhar;JAA;OAJL;Jalalabad Airport;34,39980;70,49860
AF;Paktika;OAS;OASA;Sharana Airstrip / Forward Operating Base Sharana;33,12580;68,83850
AF;Paktika;URN;OAOG;Urgun Airport;32,93180;69,15630
AF;Parwan;OAI;OAIX;Bagram Airfield;34,94610;69,26500
AF;Takhar;TQN;OATQ;Taloqan Airport;36,77070;69,53200
AG;Barbuda;BBQ;TAPH;Barbuda Codrington Airport;17,63580;-61,82860
AG;Saint George;ANU;TAPA;V. C. Bird International Airport;17,13670;-61,79270
AI;Anguilla;AXA;TQPF;Clayton J. Lloyd International Airport;18,20480;-63,05510
AM;Erevan;EVN;UDYZ;Zvartnots International Airport;40,14730;44,39590
AM;Sirak;LWN;UDSG;Gyumri Shirak Airport;40,75040;43,85930
AO;Bengo;AZZ;FNAM;Ambriz Airport;-7,86222;13,11610
AO;Benguela;BUG;FNBG;Benguela Airport (Gen. V. Deslandes Airport);-12,60900;13,40370
AO;Benguela;CBT;FNCT;Catumbela Airport;-12,47920;13,48690
AO;Benguela;LLT;FNLB;Lobito Airport;-12,37570;13,56100
AO;Bie;ANL;;Andulo Airport;-11,47230;16,71090
AO;Bie;SVP;FNKU;Kuito Airport;-12,40460;16,94740
AO;Cabinda;CAB;FNCA;Cabinda Airport;-5,59699;12,18840
